lang	precision	recall	f1-score	support
ace	0.99	0.96	0.97	500
afr	0.90	0.95	0.92	500
als	0.83	0.86	0.85	500
amh	1.00	0.99	0.99	500
ang	0.91	0.90	0.91	500
ara	0.88	0.91	0.89	500
arg	0.89	0.88	0.88	500
arz	0.92	0.87	0.90	500
asm	0.98	0.96	0.97	500
ast	0.79	0.82	0.81	500
ava	0.80	0.76	0.78	500
aym	0.98	0.94	0.96	500
azb	0.97	0.98	0.97	500
aze	0.99	0.94	0.96	500
bak	0.96	0.96	0.96	500
bar	0.84	0.83	0.83	500
bcl	0.91	0.94	0.93	500
be-tarask	0.73	0.79	0.76	500
bel	0.75	0.69	0.72	500
ben	0.92	0.90	0.91	500
bho	0.85	0.88	0.87	500
bjn	0.84	0.86	0.85	500
bod	1.00	1.00	1.00	500
bos	0.54	0.37	0.44	500
bpy	1.00	0.96	0.98	500
bre	0.94	0.96	0.95	500
bul	0.95	0.93	0.94	500
bxr	0.87	0.90	0.88	500
cat	0.92	0.85	0.88	500
cbk	0.59	0.66	0.62	500
cdo	0.99	0.97	0.98	500
ceb	0.99	0.99	0.99	500
ces	0.93	0.92	0.92	500
che	1.00	0.98	0.99	500
chr	0.99	0.98	0.98	500
chv	0.99	0.94	0.96	500
ckb	1.00	1.00	1.00	500
cor	0.98	0.97	0.97	500
cos	0.96	0.90	0.93	500
crh	0.90	0.90	0.90	500
csb	0.97	0.95	0.96	500
cym	0.99	0.97	0.98	500
dan	0.84	0.88	0.86	500
deu	0.75	0.79	0.77	500
diq	0.91	0.94	0.92	500
div	1.00	1.00	1.00	500
dsb	0.92	0.92	0.92	500
dty	0.74	0.50	0.60	500
egl	0.92	0.94	0.93	500
ell	0.98	0.99	0.99	500
eng	0.45	0.68	0.54	500
epo	0.94	0.94	0.94	500
est	0.86	0.89	0.88	500
eus	0.98	0.97	0.98	500
ext	0.87	0.86	0.86	500
fao	0.95	0.94	0.95	500
fas	0.87	0.87	0.87	500
fin	0.93	0.91	0.92	500
fra	0.71	0.77	0.74	500
frp	0.87	0.85	0.86	500
fry	0.94	0.95	0.95	500
fur	0.93	0.92	0.93	500
gag	0.90	0.89	0.90	500
gla	0.97	0.94	0.96	500
gle	0.95	0.96	0.96	500
