lang	precision	recall	f1-score	support
ace	0.95	0.93	0.94	500
afr	0.83	0.89	0.86	500
als	0.76	0.76	0.76	500
amh	1.00	0.99	0.99	500
ang	0.91	0.87	0.89	500
ara	0.85	0.90	0.88	500
arg	0.84	0.79	0.82	500
arz	0.89	0.86	0.87	500
asm	0.96	0.96	0.96	500
ast	0.75	0.75	0.75	500
ava	0.80	0.74	0.77	500
aym	0.96	0.92	0.94	500
azb	0.97	0.98	0.97	500
aze	0.95	0.92	0.93	500
bak	0.96	0.96	0.96	500
bar	0.77	0.73	0.75	500
bcl	0.87	0.88	0.88	500
be-tarask	0.73	0.80	0.76	500
bel	0.77	0.72	0.74	500
ben	0.94	0.90	0.92	500
bho	0.92	0.85	0.89	500
bjn	0.79	0.75	0.77	500
bod	1.00	1.00	1.00	500
bos	0.45	0.43	0.44	500
bpy	0.99	0.98	0.98	500
bre	0.91	0.93	0.92	500
bul	0.89	0.86	0.87	500
bxr	0.87	0.88	0.87	500
cat	0.83	0.80	0.81	500
cbk	0.48	0.54	0.51	500
cdo	0.99	0.97	0.98	500
ceb	0.99	0.98	0.98	500
ces	0.86	0.90	0.88	500
che	0.99	0.98	0.98	500
chr	0.99	0.98	0.99	500
chv	0.95	0.95	0.95	500
ckb	1.00	0.99	1.00	500
cor	0.96	0.95	0.96	500
cos	0.85	0.91	0.88	500
crh	0.87	0.89	0.88	500
csb	0.96	0.95	0.95	500
cym	0.94	0.96	0.95	500
dan	0.76	0.79	0.78	500
deu	0.66	0.73	0.69	500
diq	0.92	0.90	0.91	500
div	1.00	1.00	1.00	500
dsb	0.87	0.86	0.86	500
dty	0.69	0.72	0.71	500
egl	0.90	0.91	0.90	500
ell	0.98	0.98	0.98	500
eng	0.38	0.52	0.44	500
epo	0.90	0.92	0.91	500
est	0.89	0.87	0.88	500
eus	0.97	0.96	0.96	500
ext	0.83	0.82	0.82	500
fao	0.91	0.90	0.91	500
fas	0.83	0.87	0.85	500
fin	0.90	0.92	0.91	500
fra	0.57	0.74	0.64	500
frp	0.84	0.81	0.83	500
fry	0.90	0.90	0.90	500
fur	0.90	0.88	0.89	500
gag	0.87	0.88	0.88	500
gla	0.94	0.94	0.94	500
gle	0.92	0.94	0.93	500
glg	0.71	0.79	0.75	500
glk	0.90	0.84	0.87	500
glv	0.95	0.95	0.95	500
grn	0.95	0.95	0.95	500
guj	0.94	0.96	0.95	500
hak	0.97	0.95	0.96	500
hat	0.98	0.97	0.98	500
hau	0.92	0.95	0.93	500
hbs	0.42	0.41	0.41	500
heb	0.99	0.98	0.98	500
hif	0.82	0.86	0.84	500
hin	0.85	0.88	0.86	500
hrv	0.42	0.47	0.44	500
hsb	0.89	0.87	0.88	500
hun	0.96	0.94	0.95	500
hye	0.99	0.98	0.99	500
ibo	0.83	0.85	0.84	500
ido	0.94	0.90	0.92	500
ile	0.88	0.84	0.86	500
ilo	0.92	0.96	0.94	500
ina	0.84	0.85	0.84	500
ind	0.58	0.52	0.55	500
isl	0.91	0.92	0.91	500
ita	0.73	0.81	0.77	500
jam	0.94	0.93	0.94	500
jav	0.79	0.81	0.80	500
jbo	0.99	1.00	1.00	500
jpn	0.97	0.98	0.97	500
kaa	0.96	0.94	0.95	500
kab	0.94	0.91	0.92	500
kan	0.96	0.96	0.96	500
kat	0.97	0.96	0.96	500
kaz	0.97	0.96	0.96	500
kbd	0.99	0.99	0.99	500
khm	0.88	0.90	0.89	500
kin	0.89	0.88	0.89	500
kir	0.90	0.95	0.93	500
koi	0.81	0.81	0.81	500
kok	0.84	0.81	0.83	500
kom	0.87	0.77	0.82	500
kor	1.00	0.99	0.99	500
krc	0.94	0.91	0.92	500
ksh	0.90	0.83	0.86	500
kur	0.96	0.95	0.95	500
lad	0.82	0.88	0.85	500
lao	0.96	0.89	0.93	500
lat	0.84	0.84	0.84	500
lav	0.93	0.93	0.93	500
lez	0.94	0.92	0.93	500
lij	0.86	0.85	0.86	500
lim	0.86	0.82	0.84	500
lin	0.90	0.87	0.89	500
lit	0.95	0.95	0.95	500
lmo	0.86	0.83	0.84	500
lrc	0.91	0.88	0.89	500
ltg	0.95	0.93	0.94	500
ltz	0.87	0.83	0.85	500
lug	0.96	0.94	0.95	500
lzh	0.93	0.97	0.95	500
mai	0.88	0.84	0.86	500
mal	1.00	0.98	0.99	500
map-bms	0.61	0.63	0.62	500
mar	0.89	0.92	0.90	500
mdf	0.91	0.88	0.89	500
mhr	0.90	0.91	0.90	500
min	0.99	0.99	0.99	500
mkd	0.91	0.92	0.91	500
mlg	0.98	0.99	0.99	500
mlt	0.96	0.96	0.96	500
mon	0.93	0.93	0.93	500
mri	0.99	0.98	0.99	500
mrj	0.95	0.95	0.95	500
msa	0.60	0.65	0.63	500
mwl	0.89	0.89	0.89	500
mya	1.00	1.00	1.00	500
myv	0.74	0.75	0.74	500
mzn	0.91	0.91	0.91	500
nan	0.96	0.92	0.94	500
nap	0.90	0.86	0.88	500
nav	1.00	1.00	1.00	500
nci	0.84	0.84	0.84	500
nds	0.81	0.85	0.83	500
nds-nl	0.73	0.71	0.72	500
nep	0.72	0.68	0.70	500
new	0.96	0.96	0.96	500
nld	0.80	0.77	0.78	500
nno	0.80	0.77	0.79	500
nob	0.66	0.69	0.68	500
nrm	0.92	0.88	0.90	500
nso	0.96	0.95	0.95	500
oci	0.71	0.67	0.69	500
olo	0.93	0.91	0.92	500
ori	0.98	0.96	0.97	500
orm	0.93	0.94	0.93	500
oss	0.96	0.96	0.96	500
pag	0.91	0.85	0.88	500
pam	0.86	0.88	0.87	500
pan	1.00	0.98	0.99	500
pap	0.85	0.86	0.86	500
pcd	0.70	0.61	0.65	500
pdc	0.79	0.75	0.77	500
pfl	0.77	0.78	0.78	500
pnb	0.98	0.96	0.97	500
pol	0.91	0.93	0.92	500
por	0.79	0.78	0.79	500
pus	0.93	0.94	0.93	500
que	0.95	0.93	0.94	500
roa-tara	0.91	0.90	0.91	500
roh	0.88	0.89	0.89	500
ron	0.93	0.94	0.94	500
rue	0.87	0.86	0.86	500
rup	0.89	0.83	0.86	500
rus	0.68	0.78	0.73	500
sah	0.95	0.96	0.96	500
san	0.96	0.97	0.96	500
scn	0.92	0.89	0.91	500
sco	0.74	0.77	0.76	500
