lang	precision	recall	f1-score	support
ace	1.00	0.99	0.99	100
afr	0.97	1.00	0.99	100
als	0.95	0.90	0.92	100
amh	1.00	0.97	0.98	100
ang	0.98	0.91	0.94	100
ara	0.94	0.99	0.97	100
arg	1.00	0.94	0.97	100
arz	0.99	0.95	0.97	100
asm	1.00	0.95	0.97	100
ast	0.94	0.96	0.95	100
ava	0.94	0.76	0.84	100
aym	1.00	0.95	0.97	100
azb	0.97	1.00	0.99	100
aze	1.00	0.98	0.99	100
bak	1.00	0.98	0.99	100
bar	0.93	0.87	0.90	100
bcl	0.98	0.92	0.95	100
be-tarask	0.95	0.79	0.86	100
bel	0.81	0.94	0.87	100
ben	1.00	0.94	0.97	100
bho	1.00	0.94	0.97	100
bjn	0.99	0.87	0.93	100
bod	1.00	0.99	0.99	100
bos	0.49	0.57	0.53	100
bpy	1.00	1.00	1.00	100
bre	0.99	0.98	0.98	100
bul	1.00	0.96	0.98	100
bxr	0.92	0.87	0.89	100
cat	0.90	0.97	0.93	100
cbk	0.85	0.40	0.54	100
cdo	1.00	0.99	0.99	100
ceb	1.00	1.00	1.00	100
ces	0.99	0.98	0.98	100
che	1.00	0.99	0.99	100
chr	0.99	1.00	1.00	100
chv	1.00	0.93	0.96	100
ckb	0.99	0.99	0.99	100
cor	1.00	0.99	0.99	100
cos	0.99	0.98	0.98	100
crh	0.99	0.93	0.96	100
csb	0.99	0.99	0.99	100
cym	1.00	0.99	0.99	100
dan	1.00	0.90	0.95	100
deu	0.67	0.98	0.80	100
diq	0.99	0.94	0.96	100
div	1.00	0.99	0.99	100
dsb	0.97	0.96	0.96	100
dty	0.97	0.59	0.73	100
egl	0.99	0.94	0.96	100
ell	0.99	1.00	1.00	100
eng	0.26	0.97	0.41	100
epo	0.98	0.98	0.98	100
est	0.98	0.92	0.95	100
eus	0.99	1.00	1.00	100
ext	0.96	0.93	0.94	100
fao	1.00	0.98	0.99	100
fas	0.85	0.99	0.91	100
fin	0.98	0.99	0.99	100
fra	0.68	0.99	0.80	100
frp	0.97	0.95	0.96	100
fry	0.98	0.96	0.97	100
fur	1.00	0.95	0.97	100
gag	0.87	0.90	0.89	100
gla	0.95	0.97	0.96	100
gle	0.99	0.96	0.97	100
glg	0.97	0.96	0.96	100
glk	0.96	0.90	0.93	100
glv	1.00	0.98	0.99	100
grn	0.99	1.00	1.00	100
guj	1.00	0.94	0.97	100
hak	1.00	0.94	0.97	100
hat	1.00	0.99	0.99	100
hau	1.00	1.00	1.00	100
hbs	0.45	0.57	0.50	100
heb	1.00	1.00	1.00	100
hif	0.90	0.90	0.90	100
hin	0.96	1.00	0.98	100
hrv	0.59	0.32	0.42	100
hsb	0.99	0.97	0.98	100
hun	1.00	0.98	0.99	100
hye	1.00	0.96	0.98	100
ibo	1.00	0.90	0.95	100
ido	0.99	0.99	0.99	100
ile	0.99	0.96	0.97	100
ilo	0.97	0.97	0.97	100
ina	0.99	0.96	0.97	100
ind	0.92	0.35	0.51	100
isl	1.00	1.00	1.00	100
ita	0.86	0.94	0.90	100
jam	1.00	0.99	0.99	100
jav	0.90	0.90	0.90	100
jbo	1.00	1.00	1.00	100
jpn	1.00	0.99	0.99	100
kaa	0.98	0.98	0.98	100
kab	1.00	0.93	0.96	100
kan	0.98	1.00	0.99	100
kat	1.00	0.99	0.99	100
kaz	0.99	1.00	1.00	100
kbd	1.00	1.00	1.00	100
khm	1.00	0.88	0.94	100
kin	1.00	0.91	0.95	100
kir	1.00	0.99	0.99	100
koi	0.91	0.93	0.92	100
kok	0.98	0.92	0.95	100
kom	0.95	0.88	0.91	100
kor	0.99	1.00	1.00	100
