lang  precision	recall	f1-score	support
ace	0.99	1.00	1.00	100
afr	0.98	0.99	0.99	100
als	0.96	0.86	0.91	100
amh	1.00	0.97	0.98	100
ang	0.98	0.89	0.93	100
ara	0.92	1.00	0.96	100
arg	0.99	0.92	0.95	100
arz	1.00	0.92	0.96	100
asm	0.99	0.95	0.97	100
ast	0.98	0.89	0.93	100
ava	0.93	0.78	0.85	100
aym	0.99	0.95	0.97	100
azb	0.99	0.97	0.98	100
aze	1.00	0.99	0.99	100
bak	1.00	0.98	0.99	100
bar	0.95	0.87	0.91	100
bcl	0.99	0.93	0.96	100
be-tarask	0.80	0.91	0.85	100
bel	0.88	0.76	0.82	100
ben	1.00	0.91	0.95	100
bho	0.98	0.90	0.94	100
bjn	0.96	0.89	0.92	100
bod	1.00	1.00	1.00	100
bos	0.48	0.77	0.59	100
bpy	1.00	1.00	1.00	100
bre	0.99	0.98	0.98	100
bul	0.95	0.97	0.96	100
bxr	0.98	0.86	0.91	100
cat	0.99	0.91	0.95	100
cbk	0.75	0.42	0.54	100
cdo	1.00	0.99	0.99	100
ceb	1.00	1.00	1.00	100
ces	0.99	0.98	0.98	100
che	1.00	0.98	0.99	100
chr	1.00	1.00	1.00	100
chv	0.99	0.93	0.96	100
ckb	1.00	0.99	0.99	100
cor	1.00	1.00	1.00	100
cos	0.98	0.98	0.98	100
crh	0.99	0.89	0.94	100
csb	0.99	0.99	0.99	100
cym	1.00	0.99	0.99	100
dan	0.96	0.91	0.93	100
deu	0.70	0.91	0.79	100
diq	0.96	0.93	0.94	100
div	1.00	1.00	1.00	100
dsb	0.98	0.92	0.95	100
dty	0.86	0.62	0.72	100
egl	0.97	0.94	0.95	100
ell	1.00	1.00	1.00	100
eng	0.35	0.84	0.50	100
epo	1.00	0.97	0.98	100
est	0.96	0.90	0.93	100
eus	0.97	0.99	0.98	100
ext	0.94	0.93	0.93	100
fao	1.00	0.97	0.98	100
fas	0.85	0.96	0.90	100
fin	0.96	0.99	0.98	100
fra	0.78	0.97	0.87	100
frp	1.00	0.90	0.95	100
fry	0.98	0.94	0.96	100
fur	1.00	0.97	0.98	100
gag	0.94	0.89	0.91	100
gla	0.94	0.97	0.96	100
gle	0.99	0.97	0.98	100
glg	0.95	0.91	0.93	100
glk	0.89	0.93	0.91	100
glv	0.96	0.97	0.97	100
grn	1.00	1.00	1.00	100
guj	0.96	0.95	0.95	100
hak	0.99	0.92	0.95	100
hat	0.98	0.99	0.99	100
hau	1.00	0.98	0.99	100
hbs	0.62	0.28	0.39	100
heb	0.99	1.00	1.00	100
hif	0.98	0.91	0.94	100
hin	0.93	0.99	0.96	100
hrv	0.54	0.49	0.52	100
hsb	0.97	0.95	0.96	100
hun	0.99	0.96	0.97	100
hye	1.00	0.96	0.98	100
ibo	0.98	0.91	0.94	100
ido	0.99	0.97	0.98	100
ile	0.96	0.95	0.95	100
ilo	0.98	0.94	0.96	100
ina	0.95	0.92	0.93	100
ind	0.66	0.83	0.74	100
isl	0.99	0.99	0.99	100
ita	0.88	0.91	0.90	100
jam	0.99	0.98	0.98	100
jav	0.94	0.90	0.92	100
jbo	1.00	1.00	1.00	100
jpn	1.00	1.00	1.00	100
kaa	0.98	0.99	0.99	100
kab	0.99	0.96	0.97	100
kan	0.98	0.99	0.99	100
kat	0.99	0.99	0.99	100
kaz	1.00	1.00	1.00	100
kbd	1.00	0.99	0.99	100
khm	0.94	0.88	0.91	100
kin	0.96	0.92	0.94	100
kir	0.99	0.99	0.99	100
koi	0.89	0.93	0.91	100
kok	0.92	0.93	0.93	100
kom	0.96	0.80	0.87	100
kor	1.00	1.00	1.00	100
krc	0.96	0.99	0.98	100
ksh	0.98	0.91	0.94	100
kur	0.98	0.94	0.96	100
lad	0.96	0.95	0.95	100
lao	0.98	0.87	0.92	100
lat	0.82	0.85	0.83	100
lav	0.98	0.98	0.98	100
lez	0.99	0.95	0.97	100
lij	0.99	0.93	0.96	100
lim	0.96	0.98	0.97	100
lin	0.97	0.90	0.93	100
lit	0.99	0.95	0.97	100
lmo	0.92	0.90	0.91	100
lrc	0.98	0.90	0.94	100
ltg	0.97	0.99	0.98	100
ltz	0.98	0.95	0.96	100
lug	1.00	0.99	0.99	100
lzh	0.98	0.96	0.97	100
mai	0.94	0.97	0.96	100
mal	1.00	0.98	0.99	100
map-bms	0.94	0.68	0.79	100
mar	0.98	0.95	0.96	100
mdf	0.98	0.95	0.96	100
mhr	0.96	0.90	0.93	100
min	1.00	0.97	0.98	100
mkd	1.00	0.99	0.99	100
mlg	1.00	1.00	1.00	100
mlt	1.00	0.96	0.98	100
mon	0.94	0.97	0.96	100
mri	0.99	0.99	0.99	100
mrj	1.00	0.99	0.99	100
msa	0.73	0.82	0.77	100
mwl	0.96	0.98	0.97	100
mya	1.00	0.99	0.99	100
myv	0.90	0.83	0.86	100
mzn	1.00	0.94	0.97	100
nan	0.93	0.99	0.96	100
nap	0.96	0.92	0.94	100
nav	1.00	1.00	1.00	100
nci	0.94	0.92	0.93	100
nds	0.93	0.99	0.96	100
nds-nl	0.90	0.93	0.92	100
nep	0.70	0.88	0.78	100
new	1.00	0.96	0.98	100
nld	0.96	0.96	0.96	100
nno	0.92	0.86	0.89	100
nob	0.83	0.93	0.88	100
nrm	0.95	0.89	0.92	100
nso	0.96	0.91	0.93	100
oci	0.86	0.87	0.87	100
olo	1.00	0.99	0.99	100
ori	0.97	0.99	0.98	100
orm	0.96	0.96	0.96	100
oss	0.99	0.99	0.99	100
pag	0.95	0.88	0.91	100
pam	0.85	0.90	0.87	100
pan	1.00	0.99	0.99	100
pap	0.97	0.98	0.98	100
pcd	0.81	0.83	0.82	100
pdc	0.85	0.86	0.86	100
pfl	0.85	0.90	0.87	100
pnb	0.98	0.99	0.99	100
pol	0.94	0.99	0.97	100
por	0.89	0.92	0.91	100
pus	0.99	0.92	0.95	100
que	0.99	0.96	0.97	100
roa-tara	0.95	0.98	0.97	100
roh	0.96	0.97	0.97	100
ron	0.92	0.98	0.95	100
rue	0.98	0.94	0.96	100
rup	0.95	0.90	0.92	100
rus	0.66	0.98	0.79	100
sah	0.99	0.95	0.97	100
san	1.00	0.99	0.99	100
scn	0.98	0.98	0.98	100
sco	0.93	0.97	0.95	100
sgs	0.99	0.99	0.99	100
sin	1.00	0.95	0.97	100
slk	0.97	1.00	0.99	100
slv	0.91	0.96	0.93	100
sme	0.93	0.99	0.96	100
sna	0.94	0.94	0.94	100
snd	1.00	0.99	0.99	100
som	0.95	0.96	0.96	100
spa	0.54	0.86	0.67	100
sqi	0.99	0.93	0.96	100
srd	0.95	0.97	0.96	100
srn	1.00	0.98	0.99	100
srp	0.99	0.92	0.95	100
stq	0.99	0.99	0.99	100
sun	0.96	0.93	0.94	100
swa	0.94	0.95	0.95	100
swe	0.96	0.99	0.98	100
szl	0.97	0.99	0.98	100
tam	1.00	0.99	0.99	100
tat	0.95	0.98	0.97	100
tcy	0.97	0.98	0.98	100
tel	0.97	0.99	0.98	100
tet	0.97	0.90	0.93	100
tgk	0.99	0.99	0.99	100
tgl	0.93	0.99	0.96	100
tha	0.93	1.00	0.96	100
ton	0.99	0.97	0.98	100
tsn	0.92	0.97	0.94	100
tuk	0.98	0.99	0.99	100
tur	0.85	0.96	0.90	100
tyv	0.98	0.98	0.98	100
udm	0.96	0.97	0.97	100
uig	1.00	1.00	1.00	100
ukr	0.95	0.98	0.97	100
urd	0.99	0.99	0.99	100
uzb	0.98	0.98	0.98	100
vec	0.90	0.95	0.92	100
vep	0.97	0.99	0.98	100
vie	0.97	0.99	0.98	100
vls	0.95	0.95	0.95	100
vol	0.99	0.99	0.99	100
vro	0.97	0.98	0.98	100
war	0.99	1.00	1.00	100
wln	1.00	0.98	0.99	100
wol	0.92	0.93	0.93	100
wuu	0.94	0.90	0.92	100
xho	0.91	0.97	0.94	100
xmf	1.00	0.99	0.99	100
yid	1.00	0.97	0.98	100
yor	0.89	0.86	0.87	100
zea	0.96	0.90	0.93	100
zh-yue	0.81	0.91	0.86	100
zho	0.92	0.92	0.92	100
