lang,precision,recall,f1-score,support
ace,0.9696969696969697,0.96,0.964824120603015,100.0
afr,0.8703703703703703,0.94,0.9038461538461539,100.0
als,0.680672268907563,0.81,0.7397260273972603,100.0
amh,1.0,0.97,0.9847715736040609,100.0
ang,0.96875,0.93,0.9489795918367346,100.0
ara,0.898989898989899,0.89,0.8944723618090452,100.0
arg,0.7592592592592593,0.82,0.7884615384615384,100.0
arz,0.86,0.86,0.8599999999999999,100.0
asm,0.9230769230769231,0.96,0.9411764705882353,100.0
ast,0.8787878787878788,0.58,0.6987951807228915,100.0
ava,0.7264150943396226,0.77,0.7475728155339806,100.0
aym,0.8737864077669902,0.9,0.8866995073891626,100.0
azb,1.0,0.98,0.98989898989899,100.0
aze,0.98989898989899,0.98,0.9849246231155778,100.0
bak,1.0,0.98,0.98989898989899,100.0
bar,0.7475728155339806,0.77,0.7586206896551724,100.0
bcl,0.7894736842105263,0.75,0.7692307692307692,100.0
be-tarask,0.7692307692307693,0.7,0.7329842931937172,100.0
bel,0.680672268907563,0.81,0.7397260273972603,100.0
ben,0.989010989010989,0.9,0.9424083769633509,100.0
bho,0.9191919191919192,0.91,0.9145728643216081,100.0
bjn,0.7070707070707071,0.7,0.7035175879396985,100.0
bod,1.0,0.99,0.9949748743718593,100.0
bos,0.4304635761589404,0.65,0.5179282868525895,100.0
bpy,0.9900990099009901,1.0,0.9950248756218906,100.0
bre,0.9381443298969072,0.91,0.9238578680203046,100.0
bul,0.9423076923076923,0.98,0.9607843137254902,100.0
bxr,0.945054945054945,0.86,0.9005235602094239,100.0
cat,0.8351648351648352,0.76,0.7958115183246074,100.0
cbk,0.44285714285714284,0.62,0.5166666666666667,100.0
cdo,1.0,0.97,0.9847715736040609,100.0
ceb,0.9090909090909091,0.8,0.8510638297872342,100.0
ces,0.9578947368421052,0.91,0.9333333333333333,100.0
che,1.0,0.95,0.9743589743589743,100.0
chr,0.9801980198019802,0.99,0.9850746268656716,100.0
chv,0.968421052631579,0.92,0.9435897435897437,100.0
ckb,1.0,0.99,0.9949748743718593,100.0
cor,0.968421052631579,0.92,0.9435897435897437,100.0
cos,0.9340659340659341,0.85,0.8900523560209425,100.0
crh,0.9509803921568627,0.97,0.9603960396039604,100.0
csb,0.9696969696969697,0.96,0.964824120603015,100.0
cym,0.9428571428571428,0.99,0.9658536585365853,100.0
dan,0.8533333333333334,0.64,0.7314285714285714,100.0
deu,0.7647058823529411,0.65,0.7027027027027027,100.0
diq,0.9368421052631579,0.89,0.9128205128205129,100.0
div,1.0,0.99,0.9949748743718593,100.0
dsb,0.9473684210526315,0.9,0.9230769230769231,100.0
dty,0.76,0.38,0.5066666666666666,100.0
egl,0.9090909090909091,0.9,0.9045226130653266,100.0
ell,0.9615384615384616,1.0,0.9803921568627451,100.0
eng,0.3949579831932773,0.47,0.4292237442922375,100.0
epo,0.9150943396226415,0.97,0.9417475728155339,100.0
est,0.7980769230769231,0.83,0.8137254901960785,100.0
eus,0.98,0.98,0.98,100.0
ext,0.712,0.89,0.7911111111111112,100.0
fao,0.9603960396039604,0.97,0.9651741293532338,100.0
fas,0.7830188679245284,0.83,0.8058252427184467,100.0
fin,0.9696969696969697,0.96,0.964824120603015,100.0
fra,0.60431654676259,0.84,0.702928870292887,100.0
frp,0.8076923076923077,0.84,0.8235294117647058,100.0
fry,0.8761904761904762,0.92,0.8975609756097561,100.0
fur,0.9306930693069307,0.94,0.9353233830845772,100.0
gag,0.9072164948453608,0.88,0.8934010152284264,100.0
gla,0.9326923076923077,0.97,0.9509803921568627,100.0
gle,1.0,0.95,0.9743589743589743,100.0
glg,0.85,0.85,0.85,100.0
glk,0.8953488372093024,0.77,0.8279569892473118,100.0
glv,0.9387755102040817,0.92,0.9292929292929293,100.0
grn,0.98989898989899,0.98,0.9849246231155778,100.0
guj,0.96,0.96,0.96,100.0
hak,0.9894736842105263,0.94,0.964102564102564,100.0
hat,0.9693877551020408,0.95,0.9595959595959594,100.0
hau,0.9230769230769231,0.96,0.9411764705882353,100.0
hbs,0.36363636363636365,0.32,0.3404255319148936,100.0
heb,0.9895833333333334,0.95,0.9693877551020408,100.0
hif,0.6904761904761905,0.87,0.7699115044247788,100.0
hin,0.9479166666666666,0.91,0.9285714285714285,100.0
hrv,0.48214285714285715,0.27,0.34615384615384615,100.0
hsb,0.8952380952380953,0.94,0.9170731707317075,100.0
hun,1.0,0.96,0.9795918367346939,100.0
hye,1.0,0.96,0.9795918367346939,100.0
ibo,0.967032967032967,0.88,0.9214659685863875,100.0
ido,0.8913043478260869,0.82,0.8541666666666666,100.0
ile,0.7920792079207921,0.8,0.7960199004975126,100.0
ilo,0.9120879120879121,0.83,0.869109947643979,100.0
ina,0.78125,0.75,0.7653061224489796,100.0
ind,0.4342105263157895,0.66,0.5238095238095238,100.0
isl,1.0,0.96,0.9795918367346939,100.0
ita,0.7297297297297297,0.81,0.7677725118483413,100.0
jam,0.9029126213592233,0.93,0.916256157635468,100.0
jav,0.7735849056603774,0.82,0.796116504854369,100.0
jbo,0.9803921568627451,1.0,0.99009900990099,100.0
jpn,1.0,0.98,0.98989898989899,100.0
kaa,1.0,0.94,0.9690721649484536,100.0
kab,0.9587628865979382,0.93,0.9441624365482233,100.0
kan,1.0,0.87,0.9304812834224598,100.0
kat,0.9795918367346939,0.96,0.9696969696969697,100.0
kaz,1.0,1.0,1.0,100.0
kbd,1.0,0.98,0.98989898989899,100.0
khm,0.91,0.91,0.91,100.0
kin,0.8888888888888888,0.88,0.8844221105527638,100.0
kir,0.8434782608695652,0.97,0.9023255813953489,100.0
koi,0.7247706422018348,0.79,0.7559808612440192,100.0
kok,0.8888888888888888,0.88,0.8844221105527638,100.0
kom,0.7289719626168224,0.78,0.7536231884057971,100.0
kor,1.0,0.99,0.9949748743718593,100.0
krc,0.956989247311828,0.89,0.922279792746114,100.0
ksh,0.9239130434782609,0.85,0.8854166666666666,100.0
kur,0.9789473684210527,0.93,0.9538461538461539,100.0
lad,0.7807017543859649,0.89,0.8317757009345794,100.0
lao,0.898989898989899,0.89,0.8944723618090452,100.0
lat,0.680327868852459,0.83,0.7477477477477475,100.0
lav,0.9680851063829787,0.91,0.9381443298969071,100.0
lez,0.9215686274509803,0.94,0.9306930693069307,100.0
lij,0.831858407079646,0.94,0.8826291079812206,100.0
lim,0.8557692307692307,0.89,0.8725490196078431,100.0
lin,0.9148936170212766,0.86,0.8865979381443299,100.0
lit,0.9795918367346939,0.96,0.9696969696969697,100.0
lmo,0.9111111111111111,0.82,0.8631578947368421,100.0
lrc,0.7606837606837606,0.89,0.8202764976958524,100.0
ltg,0.9230769230769231,0.96,0.9411764705882353,100.0
ltz,0.8163265306122449,0.8,0.8080808080808082,100.0
lug,0.9411764705882353,0.96,0.9504950495049505,100.0
lzh,0.9797979797979798,0.97,0.9748743718592964,100.0
mai,0.8421052631578947,0.8,0.8205128205128205,100.0
mal,1.0,0.96,0.9795918367346939,100.0
map-bms,0.7254901960784313,0.37,0.4900662251655629,100.0
mar,0.91,0.91,0.91,100.0
mdf,0.8440366972477065,0.92,0.8803827751196172,100.0
mhr,0.8272727272727273,0.91,0.8666666666666667,100.0
min,0.9056603773584906,0.96,0.9320388349514563,100.0
mkd,0.9245283018867925,0.98,0.9514563106796116,100.0
mlg,1.0,0.99,0.9949748743718593,100.0
mlt,1.0,0.94,0.9690721649484536,100.0
mon,0.9285714285714286,0.91,0.9191919191919193,100.0
mri,0.970873786407767,1.0,0.9852216748768473,100.0
mrj,0.979381443298969,0.95,0.9644670050761421,100.0
msa,0.5061728395061729,0.41,0.4530386740331492,100.0
mwl,0.875,0.84,0.8571428571428572,100.0
mya,1.0,0.99,0.9949748743718593,100.0
myv,0.7307692307692307,0.76,0.7450980392156863,100.0
mzn,0.8811881188118812,0.89,0.8855721393034827,100.0
nan,1.0,0.99,0.9949748743718593,100.0
nap,0.9468085106382979,0.89,0.9175257731958764,100.0
nav,1.0,1.0,1.0,100.0
nci,0.8469387755102041,0.83,0.8383838383838385,100.0
nds,0.7980769230769231,0.83,0.8137254901960785,100.0
nds-nl,0.8888888888888888,0.64,0.7441860465116279,100.0
nep,0.56875,0.91,0.7000000000000001,100.0
new,0.9245283018867925,0.98,0.9514563106796116,100.0
nld,0.7264957264957265,0.85,0.7834101382488479,100.0
nno,0.7052631578947368,0.67,0.6871794871794872,100.0
nob,0.5923076923076923,0.77,0.6695652173913044,100.0
nrm,0.9444444444444444,0.85,0.8947368421052632,100.0
nso,0.968421052631579,0.92,0.9435897435897437,100.0
oci,0.8695652173913043,0.6,0.7100591715976331,100.0
olo,0.9368421052631579,0.89,0.9128205128205129,100.0
ori,0.99,0.99,0.99,100.0
orm,1.0,0.86,0.924731182795699,100.0
oss,1.0,0.98,0.98989898989899,100.0
pag,0.9342105263157895,0.71,0.8068181818181819,100.0
pam,0.5364238410596026,0.81,0.6454183266932271,100.0
pan,1.0,0.98,0.98989898989899,100.0
pap,0.891566265060241,0.74,0.8087431693989071,100.0
pcd,0.6990291262135923,0.72,0.7093596059113302,100.0
pdc,0.6607142857142857,0.74,0.6981132075471698,100.0
pfl,0.8333333333333334,0.75,0.7894736842105262,100.0
pnb,0.9393939393939394,0.93,0.9346733668341709,100.0
pol,0.9607843137254902,0.98,0.9702970297029702,100.0
por,0.8764044943820225,0.78,0.8253968253968254,100.0
pus,0.9587628865979382,0.93,0.9441624365482233,100.0
que,0.8666666666666667,0.91,0.8878048780487805,100.0
roa-tara,0.9405940594059405,0.95,0.9452736318407959,100.0
roh,0.9292929292929293,0.92,0.9246231155778895,100.0
ron,0.897196261682243,0.96,0.927536231884058,100.0
rue,0.9489795918367347,0.93,0.9393939393939393,100.0
rup,0.945054945054945,0.86,0.9005235602094239,100.0
rus,0.8536585365853658,0.7,0.7692307692307692,100.0
sah,0.95,0.95,0.9500000000000001,100.0
san,1.0,0.97,0.9847715736040609,100.0
scn,0.8888888888888888,0.88,0.8844221105527638,100.0
sco,0.5153846153846153,0.67,0.582608695652174,100.0
sgs,1.0,0.97,0.9847715736040609,100.0
sin,0.9690721649484536,0.94,0.9543147208121826,100.0
slk,0.8981481481481481,0.97,0.9326923076923077,100.0
slv,0.8137254901960784,0.83,0.8217821782178217,100.0
sme,0.95,0.95,0.9500000000000001,100.0
sna,0.8725490196078431,0.89,0.8811881188118812,100.0
snd,1.0,0.96,0.9795918367346939,100.0
som,0.9306930693069307,0.94,0.9353233830845772,100.0
spa,0.6938775510204082,0.68,0.686868686868687,100.0
sqi,0.9456521739130435,0.87,0.90625,100.0
srd,0.8846153846153846,0.92,0.9019607843137256,100.0
srn,0.9108910891089109,0.92,0.9154228855721394,100.0
srp,0.9157894736842105,0.87,0.8923076923076922,100.0
stq,0.9885057471264368,0.86,0.9197860962566845,100.0
sun,0.851063829787234,0.8,0.8247422680412372,100.0
swa,0.9101123595505618,0.81,0.8571428571428572,100.0
swe,0.8888888888888888,0.96,0.923076923076923,100.0
szl,0.9696969696969697,0.96,0.964824120603015,100.0
tam,1.0,0.98,0.98989898989899,100.0
tat,0.99,0.99,0.99,100.0
tcy,0.8849557522123894,1.0,0.9389671361502347,100.0
tel,0.9705882352941176,0.99,0.9801980198019802,100.0
tet,0.6893203883495146,0.71,0.6995073891625615,100.0
tgk,0.9795918367346939,0.96,0.9696969696969697,100.0
tgl,0.703125,0.9,0.7894736842105263,100.0
tha,0.92,0.92,0.92,100.0
ton,1.0,0.97,0.9847715736040609,100.0
tsn,0.900990099009901,0.91,0.9054726368159204,100.0
tuk,0.98989898989899,0.98,0.9849246231155778,100.0
tur,0.875,0.91,0.892156862745098,100.0
tyv,0.9473684210526315,0.9,0.9230769230769231,100.0
udm,0.9375,0.9,0.9183673469387755,100.0
uig,1.0,1.0,1.0,100.0
ukr,0.978494623655914,0.91,0.9430051813471503,100.0
urd,0.9306930693069307,0.94,0.9353233830845772,100.0
uzb,0.9895833333333334,0.95,0.9693877551020408,100.0
vec,0.9183673469387755,0.9,0.9090909090909091,100.0
vep,0.989247311827957,0.92,0.9533678756476685,100.0
vie,0.9897959183673469,0.97,0.9797979797979798,100.0
vls,0.8035714285714286,0.9,0.8490566037735849,100.0
vol,0.99,0.99,0.99,100.0
vro,0.9207920792079208,0.93,0.9253731343283582,100.0
war,0.9603960396039604,0.97,0.9651741293532338,100.0
wln,0.9238095238095239,0.97,0.9463414634146342,100.0
wol,0.9,0.9,0.9,100.0
wuu,0.9368421052631579,0.89,0.9128205128205129,100.0
xho,0.9888888888888889,0.89,0.9368421052631579,100.0
xmf,0.9705882352941176,0.99,0.9801980198019802,100.0
yid,0.9504950495049505,0.96,0.9552238805970149,100.0
yor,0.8651685393258427,0.77,0.8148148148148148,100.0
zea,0.8181818181818182,0.81,0.8140703517587939,100.0
zh-yue,0.8811881188118812,0.89,0.8855721393034827,100.0
zho,0.8532110091743119,0.93,0.8899521531100477,100.0
accuracy,0.8785957446808511,0.8785957446808511,0.8785957446808511,0.8785957446808511
macro avg,0.8856805249308805,0.8785957446808512,0.879350768412014,23500.0
weighted avg,0.8856805249308806,0.8785957446808511,0.8793507684120141,23500.0
