,f1-score,precision,recall,support
ace,0.99,0.99,0.99,100.0
afr,0.9949748743718593,1.0,0.99,100.0
als,0.88,0.88,0.88,100.0
amh,0.989795918367347,1.0,0.9797979797979798,99.0
ang,0.9625668449197862,0.989010989010989,0.9375,96.0
ara,0.9215686274509804,0.9038461538461539,0.94,100.0
arg,0.9109947643979057,0.9560439560439561,0.87,100.0
arz,0.8979591836734694,0.9166666666666666,0.88,100.0
asm,0.9948717948717948,0.9897959183673469,1.0,97.0
ast,0.9285714285714285,0.9479166666666666,0.91,100.0
ava,0.8617021276595744,0.8804347826086957,0.84375,96.0
aym,0.9052631578947369,0.945054945054945,0.8686868686868687,99.0
azb,0.9850746268656716,0.9801980198019802,0.99,100.0
aze,0.9949748743718593,1.0,0.99,100.0
bak,0.99,0.99,0.99,100.0
bar,0.8290155440414508,0.851063829787234,0.8080808080808081,99.0
bcl,0.92,0.8932038834951457,0.9484536082474226,97.0
be-tarask,0.8481675392670157,0.8901098901098901,0.81,100.0
bel,0.8446601941747572,0.8130841121495327,0.8787878787878788,99.0
ben,0.9690721649484537,0.9894736842105263,0.9494949494949495,99.0
bho,0.9583333333333333,0.968421052631579,0.9484536082474226,97.0
bjn,0.8969072164948454,0.9157894736842105,0.8787878787878788,99.0
bod,0.9949238578680203,1.0,0.98989898989899,99.0
bos,0.5699481865284974,0.5851063829787234,0.5555555555555556,99.0
bpy,0.99,0.99,0.99,100.0
bre,0.9795918367346939,1.0,0.96,100.0
bul,0.9278350515463918,0.9473684210526315,0.9090909090909091,99.0
bxr,0.8743169398907105,0.9411764705882353,0.8163265306122449,98.0
cat,0.9400000000000001,0.9306930693069307,0.9494949494949495,99.0
cbk,0.6578947368421053,0.7936507936507936,0.5617977528089888,89.0
cdo,0.9949748743718593,1.0,0.99,100.0
ceb,1.0,1.0,1.0,100.0
ces,0.9591836734693878,0.9690721649484536,0.9494949494949495,99.0
che,0.9950248756218906,0.9900990099009901,1.0,100.0
chr,1.0,1.0,1.0,99.0
chv,0.9578947368421054,1.0,0.9191919191919192,99.0
ckb,1.0,1.0,1.0,100.0
cor,0.9746192893401014,0.9896907216494846,0.96,100.0
