lang,f1-score,precision,recall,support
ace,1.0,1.0,1.0,100.0
afr,1.0,1.0,1.0,100.0
als,0.8811881188118812,0.8725490196078431,0.89,100.0
amh,0.989795918367347,1.0,0.9797979797979798,99.0
ang,0.962962962962963,0.978494623655914,0.9479166666666666,96.0
ara,0.9504950495049505,0.9411764705882353,0.96,100.0
arg,0.9533678756476685,0.989247311827957,0.92,100.0
arz,0.9452736318407959,0.9405940594059405,0.95,100.0
asm,1.0,1.0,1.0,97.0
ast,0.9543147208121826,0.9690721649484536,0.94,100.0
ava,0.8864864864864865,0.9213483146067416,0.8541666666666666,96.0
aym,0.9255319148936169,0.9775280898876404,0.8787878787878788,99.0
azb,0.9801980198019802,0.9705882352941176,0.99,100.0
aze,0.9949748743718593,1.0,0.99,100.0
bak,0.9949748743718593,1.0,0.99,100.0
bar,0.88,0.8712871287128713,0.8888888888888888,99.0
bcl,0.9740932642487047,0.9791666666666666,0.9690721649484536,97.0
be-tarask,0.9263157894736842,0.9777777777777777,0.88,100.0
bel,0.9282296650717704,0.8818181818181818,0.9797979797979798,99.0
ben,0.9795918367346939,0.9896907216494846,0.9696969696969697,99.0
bho,0.9791666666666666,0.9894736842105263,0.9690721649484536,97.0
bjn,0.9417989417989419,0.9888888888888889,0.898989898989899,99.0
bod,0.9949238578680203,1.0,0.98989898989899,99.0
bos,0.5798816568047337,0.7,0.494949494949495,99.0
bpy,0.9949748743718593,1.0,0.99,100.0
bre,0.9849246231155778,0.98989898989899,0.98,100.0
bul,0.9528795811518325,0.9891304347826086,0.9191919191919192,99.0
bxr,0.923076923076923,1.0,0.8571428571428571,98.0
cat,0.9543147208121828,0.9591836734693877,0.9494949494949495,99.0
cbk,0.7073170731707319,0.7733333333333333,0.651685393258427,89.0
cdo,0.9949748743718593,1.0,0.99,100.0
ceb,1.0,1.0,1.0,100.0
ces,0.9847715736040609,0.9897959183673469,0.9797979797979798,99.0
che,0.9950248756218906,0.9900990099009901,1.0,100.0
chr,1.0,1.0,1.0,99.0
chv,0.9633507853403142,1.0,0.9292929292929293,99.0
