,f1-score,precision,recall,support
ace,1.0,1.0,1.0,100.0
afr,0.9950248756218906,0.9900990099009901,1.0,100.0
als,0.9072164948453608,0.9361702127659575,0.88,100.0
amh,0.989795918367347,1.0,0.9797979797979798,99.0
ang,0.967741935483871,1.0,0.9375,96.0
ara,0.937799043062201,0.8990825688073395,0.98,100.0
arg,0.9543147208121826,0.9690721649484536,0.94,100.0
arz,0.9484536082474226,0.9787234042553191,0.92,100.0
asm,1.0,1.0,1.0,97.0
ast,0.9405940594059405,0.9313725490196079,0.95,100.0
ava,0.8705882352941177,1.0,0.7708333333333334,96.0
aym,0.9255319148936169,0.9775280898876404,0.8787878787878788,99.0
azb,0.99,0.99,0.99,100.0
aze,0.9950248756218906,0.9900990099009901,1.0,100.0
bak,0.99,0.99,0.99,100.0
bar,0.90625,0.9354838709677419,0.8787878787878788,99.0
bcl,0.9842931937172774,1.0,0.9690721649484536,97.0
be-tarask,0.8540540540540541,0.9294117647058824,0.79,100.0
bel,0.8598130841121495,0.8,0.9292929292929293,99.0
ben,0.9795918367346939,0.9896907216494846,0.9696969696969697,99.0
bho,0.96875,0.9789473684210527,0.9587628865979382,97.0
bjn,0.934010152284264,0.9387755102040817,0.9292929292929293,99.0
bod,0.9949238578680203,1.0,0.98989898989899,99.0
bos,0.5111111111111111,0.40350877192982454,0.696969696969697,99.0
bpy,0.9949748743718593,1.0,0.99,100.0
bre,0.9849246231155778,0.98989898989899,0.98,100.0
bul,0.9578947368421054,1.0,0.9191919191919192,99.0
bxr,0.9050279329608939,1.0,0.826530612244898,98.0
cat,0.9538461538461539,0.96875,0.9393939393939394,99.0
cbk,0.4247787610619469,1.0,0.2696629213483146,89.0
cdo,1.0,1.0,1.0,100.0
ceb,1.0,1.0,1.0,100.0
ces,0.9949748743718593,0.99,1.0,99.0
che,1.0,1.0,1.0,100.0
chr,1.0,1.0,1.0,99.0
chv,0.96875,1.0,0.9393939393939394,99.0
ckb,0.98989898989899,1.0,0.98,100.0
cor,0.98989898989899,1.0,0.98,100.0
cos,0.9795918367346939,0.9896907216494846,0.9696969696969697,99.0
crh,0.9479166666666667,0.978494623655914,0.9191919191919192,99.0
csb,0.98989898989899,0.98989898989899,0.98989898989899,99.0
cym,1.0,1.0,1.0,99.0
dan,0.9278350515463918,0.9473684210526315,0.9090909090909091,99.0
deu,0.7396226415094339,0.593939393939394,0.98,100.0
diq,0.9368421052631579,0.978021978021978,0.898989898989899,99.0
div,1.0,1.0,1.0,100.0
dsb,0.964102564102564,0.9894736842105263,0.94,100.0
dty,0.7783783783783784,0.8470588235294118,0.72,100.0
egl,0.9637305699481865,1.0,0.93,100.0
ell,0.9949748743718593,0.99,1.0,99.0
eng,0.5542168674698796,0.39655172413793105,0.92,100.0
epo,0.9595959595959594,0.9693877551020408,0.95,100.0
est,0.9850746268656716,0.9705882352941176,1.0,99.0
eus,0.9949748743718593,1.0,0.99,100.0
ext,0.9479166666666667,0.978494623655914,0.9191919191919192,99.0
fao,0.9846153846153847,1.0,0.9696969696969697,99.0
fas,0.8899082568807339,0.8220338983050848,0.97,100.0
