,f1-score,precision,recall,support
ace,1.0,1.0,1.0,100.0
afr,0.9950248756218906,0.9900990099009901,1.0,100.0
als,0.8994708994708994,0.9550561797752809,0.85,100.0
amh,0.989795918367347,1.0,0.9797979797979798,99.0
ang,0.9787234042553191,1.0,0.9583333333333334,96.0
ara,0.9371980676328503,0.9065420560747663,0.97,100.0
arg,0.964824120603015,0.9696969696969697,0.96,100.0
arz,0.9489795918367346,0.96875,0.93,100.0
asm,1.0,1.0,1.0,97.0
ast,0.9547738693467336,0.9595959595959596,0.95,100.0
ava,0.8705882352941177,1.0,0.7708333333333334,96.0
aym,0.9255319148936169,0.9775280898876404,0.8787878787878788,99.0
azb,0.99,0.99,0.99,100.0
aze,0.9950248756218906,0.9900990099009901,1.0,100.0
bak,0.9850746268656716,0.9801980198019802,0.99,100.0
bar,0.8877551020408163,0.8969072164948454,0.8787878787878788,99.0
bcl,0.9842931937172774,1.0,0.9690721649484536,97.0
be-tarask,0.7857142857142857,0.9705882352941176,0.66,100.0
bel,0.8347826086956521,0.732824427480916,0.9696969696969697,99.0
ben,0.9795918367346939,0.9896907216494846,0.9696969696969697,99.0
bho,0.9740932642487047,0.9791666666666666,0.9690721649484536,97.0
bjn,0.9393939393939394,0.9393939393939394,0.9393939393939394,99.0
bod,0.9949238578680203,1.0,0.98989898989899,99.0
bos,0.5112781954887218,0.40718562874251496,0.6868686868686869,99.0
bpy,0.9949748743718593,1.0,0.99,100.0
bre,0.9849246231155778,0.98989898989899,0.98,100.0
bul,0.9578947368421054,1.0,0.9191919191919192,99.0
bxr,0.898876404494382,1.0,0.8163265306122449,98.0
cat,0.9543147208121828,0.9591836734693877,0.9494949494949495,99.0
cbk,0.3518518518518518,1.0,0.21348314606741572,89.0
cdo,0.9950248756218906,0.9900990099009901,1.0,100.0
ceb,1.0,1.0,1.0,100.0
ces,0.9949748743718593,0.99,1.0,99.0
che,1.0,1.0,1.0,100.0
chr,1.0,1.0,1.0,99.0
chv,0.9633507853403142,1.0,0.9292929292929293,99.0
ckb,0.9949748743718593,1.0,0.99,100.0
cor,0.98989898989899,1.0,0.98,100.0
cos,0.9795918367346939,0.9896907216494846,0.9696969696969697,99.0
crh,0.9489795918367346,0.9587628865979382,0.9393939393939394,99.0
csb,0.9846153846153847,1.0,0.9696969696969697,99.0
cym,1.0,1.0,1.0,99.0
dan,0.9473684210526315,0.989010989010989,0.9090909090909091,99.0
deu,0.7096774193548387,0.553072625698324,0.99,100.0
diq,0.9637305699481866,0.9893617021276596,0.9393939393939394,99.0
div,1.0,1.0,1.0,100.0
dsb,0.9693877551020408,0.9895833333333334,0.95,100.0
dty,0.5467625899280576,0.9743589743589743,0.38,100.0
egl,0.9361702127659575,1.0,0.88,100.0
ell,0.9949748743718593,0.99,1.0,99.0
eng,0.5416666666666667,0.3855932203389831,0.91,100.0
epo,0.964824120603015,0.9696969696969697,0.96,100.0
est,0.9753694581280787,0.9519230769230769,1.0,99.0
eus,0.9949748743718593,1.0,0.99,100.0
ext,0.9528795811518325,0.9891304347826086,0.9191919191919192,99.0
