,f1-score,precision,recall,support
ace,0.9950248756218906,0.9900990099009901,1.0,100.0
afr,0.9852216748768473,0.970873786407767,1.0,100.0
als,0.8629441624365483,0.8762886597938144,0.85,100.0
amh,0.989795918367347,1.0,0.9797979797979798,99.0
ang,0.9508196721311475,1.0,0.90625,96.0
ara,0.8673469387755102,0.8854166666666666,0.85,100.0
arg,0.9166666666666666,0.9565217391304348,0.88,100.0
arz,0.8737864077669903,0.8490566037735849,0.9,100.0
asm,1.0,1.0,1.0,97.0
ast,0.8,0.8210526315789474,0.78,100.0
ava,0.8654970760233919,0.9866666666666667,0.7708333333333334,96.0
aym,0.9297297297297298,1.0,0.8686868686868687,99.0
azb,0.9696969696969697,0.9795918367346939,0.96,100.0
aze,0.99,0.99,0.99,100.0
bak,0.9850746268656716,0.9801980198019802,0.99,100.0
bar,0.8556149732620321,0.9090909090909091,0.8080808080808081,99.0
bcl,0.9690721649484536,0.9690721649484536,0.9690721649484536,97.0
be-tarask,0.7130434782608696,0.6307692307692307,0.82,100.0
bel,0.5903614457831325,0.7313432835820896,0.494949494949495,99.0
ben,0.9690721649484537,0.9894736842105263,0.9494949494949495,99.0
bho,0.9117647058823529,0.8691588785046729,0.9587628865979382,97.0
bjn,0.8979591836734694,0.9072164948453608,0.8888888888888888,99.0
bod,0.9949238578680203,1.0,0.98989898989899,99.0
bos,0.48214285714285715,0.34177215189873417,0.8181818181818182,99.0
bpy,0.9949748743718593,1.0,0.99,100.0
bre,0.9849246231155778,0.98989898989899,0.98,100.0
bul,0.9270833333333334,0.956989247311828,0.898989898989899,99.0
bxr,0.8700564971751412,0.9746835443037974,0.7857142857142857,98.0
cat,0.8584905660377359,0.8053097345132744,0.9191919191919192,99.0
cbk,0.48031496062992124,0.3696969696969697,0.6853932584269663,89.0
cdo,1.0,1.0,1.0,100.0
ceb,1.0,1.0,1.0,100.0
ces,1.0,1.0,1.0,99.0
che,1.0,1.0,1.0,100.0
chr,1.0,1.0,1.0,99.0
chv,0.9578947368421054,1.0,0.9191919191919192,99.0
ckb,0.9849246231155778,0.98989898989899,0.98,100.0
cor,0.9847715736040609,1.0,0.97,100.0
cos,0.9633507853403142,1.0,0.9292929292929293,99.0
crh,0.8488372093023255,1.0,0.7373737373737373,99.0
csb,0.979381443298969,1.0,0.9595959595959596,99.0
cym,0.9850746268656716,0.9705882352941176,1.0,99.0
dan,0.8064516129032258,0.8620689655172413,0.7575757575757576,99.0
deu,0.6143790849673203,0.4563106796116505,0.94,100.0
diq,0.9361702127659574,0.9887640449438202,0.8888888888888888,99.0
div,0.9950248756218906,0.9900990099009901,1.0,100.0
dsb,0.9148936170212766,0.9772727272727273,0.86,100.0
dty,0.3582089552238806,0.7058823529411765,0.24,100.0
egl,0.9637305699481865,1.0,0.93,100.0
ell,0.99,0.9801980198019802,1.0,99.0
eng,0.44646924829157175,0.2890855457227139,0.98,100.0
epo,0.93,0.93,0.93,100.0
est,0.9801980198019802,0.9611650485436893,1.0,99.0
eus,0.9949748743718593,1.0,0.99,100.0
ext,0.9175257731958762,0.9368421052631579,0.898989898989899,99.0
fao,0.9700000000000001,0.9603960396039604,0.9797979797979798,99.0
fas,0.8050847457627118,0.6985294117647058,0.95,100.0
fin,0.9852216748768473,0.970873786407767,1.0,100.0
fra,0.6346153846153846,0.4647887323943662,1.0,99.0
frp,0.9473684210526316,1.0,0.9,100.0
fry,0.9099526066350709,0.8571428571428571,0.9696969696969697,99.0
fur,0.9696969696969697,0.9795918367346939,0.96,100.0
gag,0.8923076923076922,0.9157894736842105,0.87,100.0
gla,0.9850746268656716,0.9801980198019802,0.99,100.0
gle,0.989795918367347,1.0,0.9797979797979798,99.0
glg,0.8597285067873304,0.7786885245901639,0.9595959595959596,99.0
glk,0.8540540540540541,0.9294117647058824,0.79,100.0
glv,0.9847715736040609,1.0,0.97,100.0
grn,0.98989898989899,1.0,0.98,100.0
guj,0.9947089947089947,1.0,0.9894736842105263,95.0
hak,0.9847715736040609,1.0,0.97,100.0
hat,0.9950248756218906,0.9900990099009901,1.0,100.0
hau,0.99009900990099,0.9803921568627451,1.0,100.0
hbs,0.1893491124260355,0.2318840579710145,0.16,100.0
heb,0.9702970297029702,0.9607843137254902,0.98,100.0
hif,0.9456521739130435,0.9886363636363636,0.90625,96.0
hin,0.9222797927461138,0.9468085106382979,0.898989898989899,99.0
hrv,0.019801980198019806,0.5,0.010101010101010102,99.0
hsb,0.9268292682926829,0.9047619047619048,0.95,100.0
hun,0.9949748743718593,1.0,0.99,100.0
hye,0.989795918367347,1.0,0.9797979797979798,99.0
ibo,0.9550561797752808,1.0,0.9139784946236559,93.0
ido,0.9743589743589743,1.0,0.95,100.0
ile,0.9417989417989417,1.0,0.89,100.0
ilo,0.9743589743589745,0.9895833333333334,0.9595959595959596,99.0
ina,0.945273631840796,0.9313725490196079,0.9595959595959596,99.0
ind,0.5661538461538462,0.40707964601769914,0.9292929292929293,99.0
isl,0.9743589743589743,1.0,0.95,100.0
ita,0.8288288288288288,0.7479674796747967,0.9292929292929293,99.0
jam,0.98989898989899,0.98989898989899,0.98989898989899,99.0
jav,0.9045226130653266,0.9,0.9090909090909091,99.0
jbo,1.0,1.0,1.0,100.0
jpn,0.9949748743718593,0.99,1.0,99.0
kaa,1.0,1.0,1.0,100.0
kab,0.9361702127659574,0.9887640449438202,0.8888888888888888,99.0
kan,0.9801980198019802,0.9705882352941176,0.99,100.0
kat,0.9696969696969697,0.9696969696969697,0.9696969696969697,99.0
kaz,0.9949238578680203,1.0,0.98989898989899,99.0
kbd,0.9949748743718593,1.0,0.99,100.0
khm,0.9886363636363636,1.0,0.9775280898876404,89.0
kin,0.968421052631579,0.989247311827957,0.9484536082474226,97.0
kir,0.9658536585365853,0.9428571428571428,0.99,100.0
koi,0.7649769585253456,0.7094017094017094,0.83,100.0
kok,0.7643312101910827,0.967741935483871,0.631578947368421,95.0
kom,0.6883116883116882,0.9814814814814815,0.53,100.0
kor,0.9949238578680203,1.0,0.98989898989899,99.0
krc,0.9696969696969697,0.9795918367346939,0.96,100.0
ksh,0.9263157894736842,0.9777777777777777,0.88,100.0
kur,0.9509803921568627,0.9326923076923077,0.97,100.0
lad,0.9353233830845772,0.9306930693069307,0.94,100.0
lao,0.8863636363636364,1.0,0.7959183673469388,98.0
lat,0.8899521531100479,0.8378378378378378,0.9489795918367347,98.0
lav,0.9850746268656716,0.9801980198019802,0.99,100.0
lez,0.9847715736040609,0.9897959183673469,0.9797979797979798,99.0
lij,0.98989898989899,1.0,0.98,100.0
lim,0.92,0.92,0.92,100.0
lin,0.9354838709677419,1.0,0.8787878787878788,99.0
lit,0.9847715736040609,1.0,0.97,100.0
lmo,0.9435897435897437,0.968421052631579,0.92,100.0
lrc,0.8924731182795699,0.9651162790697675,0.83,100.0
ltg,0.9847715736040609,0.9897959183673469,0.9797979797979798,99.0
ltz,0.96,0.96,0.96,100.0
lug,0.9795918367346939,0.9896907216494846,0.9696969696969697,99.0
lzh,0.9801980198019802,0.9705882352941176,0.99,100.0
mai,0.9238578680203046,0.9285714285714286,0.9191919191919192,99.0
mal,0.9949238578680203,1.0,0.98989898989899,99.0
map-bms,0.6380368098159509,0.8125,0.5252525252525253,99.0
mar,0.8660714285714285,0.776,0.9797979797979798,99.0
mdf,0.9803921568627451,0.9615384615384616,1.0,100.0
mhr,0.9304812834224598,1.0,0.87,100.0
min,0.9949748743718593,1.0,0.99,100.0
mkd,0.9651741293532337,0.9509803921568627,0.9797979797979798,99.0
mlg,1.0,1.0,1.0,99.0
mlt,0.98989898989899,0.98989898989899,0.98989898989899,99.0
mon,0.9428571428571428,0.9,0.99,100.0
mri,0.9949748743718593,1.0,0.99,100.0
mrj,1.0,1.0,1.0,100.0
msa,0.07407407407407406,0.4,0.04081632653061224,98.0
mwl,0.9803921568627451,0.9615384615384616,1.0,100.0
mya,0.9949748743718593,1.0,0.99,100.0
myv,0.7597765363128492,0.8607594936708861,0.68,100.0
mzn,0.90625,0.9456521739130435,0.87,100.0
nan,0.966183574879227,0.9345794392523364,1.0,100.0
nap,0.9417989417989417,1.0,0.89,100.0
nav,1.0,1.0,1.0,100.0
nci,0.7421383647798743,1.0,0.59,100.0
nds,0.9500000000000001,0.95,0.95,100.0
nds-nl,0.5694444444444444,0.9318181818181818,0.41,100.0
nep,0.6798418972332017,0.5584415584415584,0.8686868686868687,99.0
new,0.9896907216494846,1.0,0.9795918367346939,98.0
nld,0.7626459143968872,0.6242038216560509,0.98,100.0
nno,0.6874999999999999,0.9166666666666666,0.55,100.0
nob,0.71900826446281,0.6083916083916084,0.8787878787878788,99.0
nrm,0.9468599033816426,0.9158878504672897,0.98,100.0
nso,0.9732620320855615,1.0,0.9479166666666666,96.0
oci,0.6623376623376623,0.9272727272727272,0.5151515151515151,99.0
olo,0.98989898989899,1.0,0.98,100.0
ori,0.9948186528497409,1.0,0.9896907216494846,97.0
orm,0.9795918367346939,0.9896907216494846,0.9696969696969697,99.0
oss,1.0,1.0,1.0,100.0
pag,0.967741935483871,1.0,0.9375,96.0
pam,0.6666666666666666,0.8208955223880597,0.5612244897959183,98.0
pan,0.9949238578680203,1.0,0.98989898989899,99.0
pap,0.9746192893401016,0.9795918367346939,0.9696969696969697,99.0
pcd,0.6308724832214765,0.94,0.47474747474747475,99.0
pdc,0.900523560209424,0.9247311827956989,0.8775510204081632,98.0
pfl,0.8651685393258427,0.9746835443037974,0.7777777777777778,99.0
pnb,0.9847715736040609,1.0,0.97,100.0
pol,0.9658536585365853,0.9339622641509434,1.0,99.0
por,0.8972972972972972,0.9651162790697675,0.8383838383838383,99.0
pus,0.9844559585492227,0.9895833333333334,0.979381443298969,97.0
que,0.9489795918367346,0.96875,0.93,100.0
roa-tara,0.9651741293532338,0.9603960396039604,0.97,100.0
roh,0.9651741293532338,0.9603960396039604,0.97,100.0
ron,0.96,0.9504950495049505,0.9696969696969697,99.0
rue,0.9538461538461539,0.9789473684210527,0.93,100.0
rup,0.9247311827956989,0.9885057471264368,0.8686868686868687,99.0
rus,0.6546762589928058,0.5083798882681564,0.9191919191919192,99.0
sah,0.9846153846153847,1.0,0.9696969696969697,99.0
san,0.989795918367347,1.0,0.9797979797979798,99.0
scn,0.9850746268656716,0.9801980198019802,0.99,100.0
sco,0.8255813953488371,0.9594594594594594,0.7244897959183674,98.0
sgs,0.9949748743718593,1.0,0.99,100.0
sin,0.9948717948717948,1.0,0.9897959183673469,98.0
slk,0.9949748743718593,1.0,0.99,100.0
slv,0.8983957219251336,0.9655172413793104,0.84,100.0
sme,0.9509803921568627,0.9326923076923077,0.97,100.0
sna,0.9398907103825136,1.0,0.8865979381443299,97.0
snd,1.0,1.0,1.0,99.0
som,0.9587628865979382,0.9893617021276596,0.93,100.0
spa,0.3766233766233766,0.5272727272727272,0.29292929292929293,99.0
sqi,0.9696969696969697,0.9795918367346939,0.96,100.0
srd,0.9847715736040609,1.0,0.97,100.0
srn,0.9846153846153847,1.0,0.9696969696969697,99.0
srp,0.9430051813471503,0.9680851063829787,0.9191919191919192,99.0
stq,0.9651741293532338,0.9603960396039604,0.97,100.0
sun,0.964467005076142,0.9595959595959596,0.9693877551020408,98.0
swa,0.9846153846153847,0.9896907216494846,0.9795918367346939,98.0
swe,0.9852216748768473,0.970873786407767,1.0,100.0
szl,0.9949748743718593,1.0,0.99,100.0
tam,0.9950248756218906,0.9900990099009901,1.0,100.0
tat,0.9690721649484536,1.0,0.94,100.0
tcy,0.9696969696969697,0.9795918367346939,0.96,100.0
tel,1.0,1.0,1.0,97.0
tet,0.9411764705882354,0.9887640449438202,0.8979591836734694,98.0
tgk,0.99,0.99,0.99,100.0
tgl,0.9846153846153847,0.9896907216494846,0.9795918367346939,98.0
tha,0.9252336448598132,0.8608695652173913,1.0,99.0
ton,1.0,1.0,1.0,100.0
tsn,0.9702970297029703,0.9514563106796117,0.98989898989899,99.0
tuk,1.0,1.0,1.0,100.0
tur,0.8370044052863436,0.7421875,0.9595959595959596,99.0
tyv,0.9591836734693877,0.9791666666666666,0.94,100.0
udm,1.0,1.0,1.0,100.0
uig,0.9849246231155778,0.98989898989899,0.98,100.0
ukr,0.970873786407767,0.9433962264150944,1.0,100.0
urd,0.9850746268656716,0.9705882352941176,1.0,99.0
uzb,0.9950248756218906,0.9900990099009901,1.0,100.0
vec,0.9748743718592964,0.9797979797979798,0.97,100.0
vep,0.99,0.99,0.99,100.0
vie,1.0,1.0,1.0,99.0
vls,0.8533333333333333,0.768,0.96,100.0
vol,1.0,1.0,1.0,100.0
vro,0.98989898989899,1.0,0.98,100.0
war,0.989795918367347,1.0,0.9797979797979798,99.0
wln,0.9850746268656716,0.9801980198019802,0.99,100.0
wol,0.9361702127659575,1.0,0.88,100.0
wuu,0.9374999999999999,0.967741935483871,0.9090909090909091,99.0
xho,0.96875,0.9789473684210527,0.9587628865979382,97.0
xmf,0.9846153846153847,1.0,0.9696969696969697,99.0
yid,0.9693877551020408,0.9895833333333334,0.95,100.0
yor,0.9364161849710982,1.0,0.8804347826086957,92.0
zea,0.7701863354037267,1.0,0.6262626262626263,99.0
zh-yue,0.9230769230769231,0.9655172413793104,0.8842105263157894,95.0
zho,0.9230769230769231,0.8807339449541285,0.9696969696969697,99.0
accuracy,0.9097192410062677,0.9097192410062677,0.9097192410062677,0.9097192410062677
macro avg,0.9100984466746685,0.9294168600737164,0.9094908870021317,23294.0
weighted avg,0.9103018075140149,0.9295612433407232,0.9097192410062677,23294.0
